iter	Passed	Remaining
0	172	34355
1	178	17635
2	184	12096
3	190	9334
4	196	7653
5	201	6522
6	207	5721
7	213	5128
8	220	4671
9	226	4298
10	232	4002
11	239	3755
12	245	3535
13	251	3341
14	257	3173
15	263	3024
16	269	2897
17	274	2779
18	281	2679
19	287	2585
20	293	2499
21	299	2422
22	305	2353
23	311	2286
24	318	2227
25	324	2174
26	330	2120
27	337	2071
28	343	2025
29	349	1982
30	355	1938
31	361	1897
32	367	1861
33	374	1826
34	379	1791
35	386	1759
36	391	1726
37	397	1695
38	403	1667
39	409	1639
40	415	1611
41	421	1587
42	428	1564
43	433	1538
44	439	1514
45	446	1493
46	451	1470
47	457	1448
48	463	1427
49	469	1409
50	475	1389
51	481	1371
52	487	1353
53	494	1337
54	500	1320
55	506	1302
56	512	1285
57	518	1269
58	525	1254
59	531	1239
60	537	1225
61	543	1210
62	550	1196
63	555	1181
64	561	1167
65	568	1154
66	574	1141
67	581	1127
68	587	1114
69	593	1102
70	599	1089
71	605	1076
72	611	1063
73	613	1044
74	619	1032
75	625	1019
76	630	1007
77	637	996
78	643	984
79	649	973
80	655	963
81	662	952
82	667	941
83	674	931
84	680	920
85	687	910
86	692	899
87	699	889
88	705	879
89	711	869
90	717	859
91	723	849
92	730	840
93	736	830
94	741	820
95	748	810
96	754	801
97	760	791
98	766	781
99	772	772
100	778	763
101	784	754
102	790	744
103	797	735
104	803	726
105	809	717
106	815	708
107	821	699
108	827	690
109	833	682
110	840	673
111	846	665
112	852	656
113	858	647
114	865	639
115	871	631
116	877	622
117	883	614
118	889	605
119	895	596
120	901	588
121	907	580
122	913	572
123	920	563
124	926	555
125	932	547
126	938	539
127	944	531
128	950	523
129	957	515
130	963	507
131	969	499
132	975	491
133	982	483
134	988	475
135	995	468
136	1001	460
137	1007	452
138	1014	445
139	1020	437
140	1026	429
141	1032	421
142	1039	414
143	1045	406
144	1051	398
145	1058	391
146	1064	383
147	1070	376
148	1076	368
149	1082	360
150	1089	353
151	1095	345
152	1101	338
153	1107	330
154	1113	323
155	1119	315
156	1125	308
157	1131	300
158	1138	293
159	1144	286
160	1150	278
161	1156	271
162	1162	263
163	1168	256
164	1174	249
165	1181	241
166	1187	234
167	1192	227
168	1199	219
169	1204	212
170	1210	205
171	1217	198
172	1223	190
173	1229	183
174	1235	176
175	1241	169
176	1247	162
177	1252	154
178	1258	147
179	1263	140
180	1270	133
181	1277	126
182	1283	119
183	1289	112
184	1296	105
185	1301	97
186	1308	90
187	1314	83
188	1320	76
189	1326	69
190	1332	62
191	1338	55
192	1344	48
193	1350	41
194	1357	34
195	1363	27
196	1369	20
197	1375	13
198	1381	6
199	1387	0
